"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"58","94.25264985072404","70.13815790999888","0.010498046875","0.017822265625","0.003173828125","1560","0.000470608222394211","24","0.000470608222394211","0","0.000470608222394211","0.000470608222394211","71:68;51:68","71:0.0022537695314703843;51:0.0025186491228239016","71:0.001721110767272771;51:0.00204649696374104","0.010498046875","Yes"
"59","144.93803251780966","143.57050692305359","0.013916015625","0.016845703125","0.010986328125","1560","0.0003088691491462825","24","0.0003088691491462825","0","0.0003088691491462825","0.0003088691491462825","55:68;75:68","55:0.002244617463207227;75:0.0027106932506349157","55:0.012013486611332141;75:0.0031895887794994304","0.013916015625","Yes"
"60","184.04510835370237","43.36704470430992","0.0484619140625","0.0546875","0.042236328125","1560","0.00023575312720278314","24","0.00023575312720278314","0","0.00023575312720278314","0.00023575312720278314","61:68","61:0.0020369575067859247","61:0.002268504489527756","0.0484619140625","Yes"
"61","218.1219852131025","99.75477205305656","0.05908203125","0.08154296875","0.044921875","1560","0.00021282532225891783","24","0.00021282532225891783","0","0.00021282532225891783","0.00021282532225891783","76:68;60:68;62:68","76:0.0025179650800049302;60:0.0020369575067859247;62:0.0022477822981182005","76:0.0020183191872130413;60:0.002268504489527756;62:0.0064265072673815316","0.05908203125","Yes"
"62","136.72306691706214","39.77363804278481","0.0294189453125","0.029052734375","0.02978515625","1560","0.0002598565198704615","24","0.0002598565198704615","0","0.0002598565198704615","0.0002598565198704615","61:68;63:68","61:0.0022477822981182005;63:0.005954960581926821","61:0.0064265072673815316;63:0.006816838877532344","0.0294189453125","Yes"
"63","87.16171095675683","13.256056389091608","0.0484619140625","0.06103515625","0.035888671875","1560","0.0005443630040275346","24","0.0005443630040275346","0","0.0005443630040275346","0.0005443630040275346","56:68;62:68;64:68","56:0.005179496270902112;62:0.005954960581926821;64:0.06730489439292511","56:0.006092133502715091;62:0.006816838877532344;64:0.08301023669111263","0.0484619140625","Yes"
"64","147.67323793644013","118.25986051191751","0.0045166015625","0.008056640625","0.0009765625","1560","0.0005101726275403664","24","0.0005101726275403664","0","0.0005101726275403664","0.0005101726275403664","65:68;63:68","65:0.0025416594980154084;63:0.06730489439292511","65:0.0024517330817238614;63:0.08301023669111263","0.0045166015625","Yes"
"65","111.93790708558255","80.71144529937935","0.086669921875","0.115234375","0.05810546875","1560","0.00038959904154120946","24","0.00038959904154120946","0","0.00038959904154120946","0.00038959904154120946","64:68;66:68;77:68","64:0.0025416594980154084;66:0.002140320400585094;77:0.004454954945338374","64:0.0024517330817238614;66:0.004025249326367442;77:0.0031725234832622184","0.086669921875","Yes"
"66","67.34952752456785","15.586013749494578","0.008056640625","0.01171875","0.00439453125","1560","0.000258202824468973","24","0.000258202824468973","0","0.000258202824468973","0.000258202824468973","65:68;67:68","65:0.002140320400585094;67:0.002602976814419594","65:0.004025249326367442;67:0.002685177123827709","0.008056640625","Yes"
"67","135.76399478924813","64.63360315884894","0.048828125","0.064697265625","0.032958984375","1560","0.00022564585929115284","24","0.00022564585929115284","0","0.00022564585929115284","0.00022564585929115284","68:68;57:68;66:68","68:0.0023410705566899725;57:0.005617239752712444;66:0.002602976814419594","68:0.002268725426693069;57:0.006784549685646429;66:0.002685177123827709","0.048828125","Yes"
"68","38.50958711599553","29.969665611941263","0.01171875","0.017578125","0.005859375","1560","0.0002492732813750128","24","0.0002492732813750128","0","0.0002492732813750128","0.0002492732813750128","67:68;69:68","67:0.0023410705566899725;69:0.002321428372564105","67:0.002268725426693069;69:0.003718630972133652","0.01171875","Yes"
"69","177.18821327237467","83.04246926351833","0.0360107421875","0.049560546875","0.0224609375","1560","0.0004357268001034683","24","0.0004357268001034683","0","0.0004357268001034683","0.0004357268001034683","78:68;68:68;70:68","78:0.002590120231829307;68:0.002321428372564105;70:0.00408799039249258","78:0.002035022839513706;68:0.003718630972133652;70:0.004487382524973049","0.0360107421875","Yes"
"70","74.10707845588593","74.7344741152359","0.0087890625","0.01318359375","0.00439453125","1560","0.0004589022386932495","24","0.0004589022386932495","0","0.0004589022386932495","0.0004589022386932495","69:68;71:68","69:0.00408799039249258;71:0.0034157490953093395","69:0.004487382524973049;71:0.002584698693625348","0.0087890625","Yes"
"71","150.05322653311615","116.58708321753662","0.0159912109375","0.01708984375","0.014892578125","1560","0.0005928987042627197","24","0.0005928987042627197","0","0.0005928987042627197","0.0005928987042627197","72:68;58:68;70:68","58:0.0022537695314703843;70:0.0034157490953093395","72:0.16756739104461574;58:0.001721110767272771;70:0.002584698693625348","0.0159912109375","Yes"
"72","10.459335419923361","99.15649886504495","0.5062255859375","0.224609375","0.787841796875","1560","","24","","0","","","73:68;71:68","","73:0.24994223080572228;71:0.16756739104461574","0.5062255859375","Yes"
